"id","Protein","Pathway","Metabolism"
"K00001","Alcohol dehydrogenase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00002","Alcohol dehydrogenase (NADP+)","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00003","Homoserine dehydrogenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00005","Glycerol dehydrogenase","Propanoate metabolism","Carbohydrate metabolism"
"K00007","D-arabinitol 4-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00008","L-iditol 2-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00009","Mannitol-1-phosphate 5-dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K00010","Myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase","Inositol phosphate metabolism","Carbohydrate metabolism"
"K00011","Aldehyde reductase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00012","UDPglucose 6-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00013","Histidinol dehydrogenase","Histidine metabolism","Amino acid metabolism"
"K00014","Shikimate dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K00015","Glyoxylate reductase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00016","L-lactate dehydrogenase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00018","Glycerate dehydrogenase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00019","3-hydroxybutyrate dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K00020","3-hydroxyisobutyrate dehydrogenase","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K00021","Hydroxymethylglutaryl-CoA reductase (NADPH)","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K00023","Acetoacetyl-CoA reductase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00024","Malate dehydrogenase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00029","Malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)","Pyruvate metabolism","Carbohydrate metabolism"
"K00030","Isocitrate dehydrogenase (NAD+)","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00031","Isocitrate dehydrogenase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00032","Phosphogluconate 2-dehydrogenase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00033","6-phosphogluconate dehydrogenase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00034","Glucose 1-dehydrogenase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00035","D-galactose 1-dehydrogenase","Galactose metabolism","Carbohydrate metabolism"
"K00036","Glucose-6-phosphate 1-dehydrogenase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00038","3alpha(or 20beta)-hydroxysteroid dehydrogenase","Steroid hormone biosynthesis","Lipid metabolism"
"K00039","Ribitol 2-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00040","Fructuronate reductase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00041","Tagaturonate reductase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00042","2-hydroxy-3-oxopropionate reductase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00043","4-hydroxybutyrate dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K00045","Mannitol 2-dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K00048","Lactaldehyde reductase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00049","Glyoxylate/hydroxypyruvate reductase","Pyruvate metabolism","Carbohydrate metabolism"
"K00052","3-isopropylmalate dehydrogenase","C5-Branched dibasic acid metabolism","Carbohydrate metabolism"
"K00053","Ketol-acid reductoisomerase","Valine, leucine and isoleucine biosynthesis","Amino acid metabolism"
"K00055","Aryl-alcohol dehydrogenase","Tyrosine metabolism","Amino acid metabolism"
"K00058","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","Methane metabolism","Energy metabolism"
"K00059","3-oxoacyl-[acyl-carrier protein] reductase","Fatty acid biosynthesis","Lipid metabolism"
"K00060","Threonine 3-dehydrogenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00064","D-threo-aldose 1-dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K00065","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
