contigName	contigLen	totalAvgDepth	totalAvgDepth_var
ctg_1826	6111	17.1106	1.7111
ctg_1841	7988	20.3683	2.0368
ctg_2239	47323	96.1258	9.6126
ctg_713	14479	29.814	2.9814
ctg_538	10326	56.4935	5.6494
ctg_755	10125	138.2188	13.8219
ctg_1733	44148	103.6758	10.3676
ctg_2267	5067	84.9397	8.494
ctg_1701	7358	77.7629	7.7763
ctg_2292	5846	111.1217	11.1122
ctg_1239	5929	21.9991	2.1999
ctg_1567	3432	22.4959	2.2496
ctg_1620	5096	22.5693	2.2569
ctg_1951	2048	72.253	7.2253
ctg_2113	3022	104.7184	10.4718
ctg_1686	7638	108.2061	10.8206
ctg_921	3564	47.5516	4.7552
ctg_1673	2848	26.3029	2.6303
ctg_1071	7385	139.6024	13.9602
ctg_197	53201	120.9621	12.0962
ctg_2269	16780	97.5014	9.7501
ctg_21	52302	69.2754	6.9275
ctg_1590	5026	30.3186	3.0319
ctg_1321	44547	81.6726	8.1673
ctg_437	10618	56.0267	5.6027
ctg_2174	2250	101.6852	10.1685
ctg_714	16627	30.0672	3.0067
ctg_1838	6380	18.3297	1.833
ctg_2022	42788	124.9776	12.4978
ctg_735	12130	135.4296	13.543
ctg_283	38841	90.6705	9.0671
ctg_1478	3485	6.3672	0.6367
ctg_641	9930	54.8428	5.4843
ctg_1161	49261	114.507	11.4507
ctg_411	15951	48.138	4.8138
ctg_863	40007	123.8834	12.3883
ctg_1830	8201	19.591	1.9591
ctg_1626	2716	25.392	2.5392
ctg_700	10991	26.8612	2.6861
ctg_2225	54896	108.5603	10.856
ctg_1357	51703	82.0312	8.2031
ctg_1905	2177	71.9406	7.1941
ctg_865	13103	118.5802	11.858
ctg_1034	5390	12.0167	1.2017
ctg_1669	2931	24.7211	2.4721
ctg_168	49420	30.7495	3.0749
ctg_671	22652	61.5132	6.1513
ctg_665	10335	62.5904	6.259
ctg_2118	13449	106.329	10.6329
ctg_2143	4450	89.2771	8.9277
ctg_2294	5253	92.1974	9.2197
ctg_648	12335	59.8533	5.9853
ctg_1163	4527	139.2131	13.9213
ctg_1920	6950	78.9749	7.8975
ctg_1234	5493	20.3785	2.0379
ctg_1825	10370	20.7352	2.0735
ctg_2009	49438	143.7763	14.3776
ctg_476	10794	56.9228	5.6923
ctg_1663	4444	28.5713	2.8571
ctg_2093	2163	105.1844	10.5184
ctg_1605	2224	28.1073	2.8107
ctg_909	8144	44.012	4.4012
ctg_699	18924	34.5573	3.4557
ctg_1042	4242	13.2593	1.3259
ctg_633	14829	56.5073	5.6507
ctg_386	7405	44.4898	4.449
